,,,,,,,,,
,METHOD,API,DESCRIPTION,NOTE FE,FE,REQUEST BODY,NOTE BE,BE,RESPONSE
,Authentication & Identity (Core),,,,,,,,
,POST,/api/v1/auth/register,Đăng ký tài khoản mới,"Cần validate format email, pass, phone trước khi gửi",Null,"{ 
""email"": ""user@ex.com"", 
""password"": ""raw_pass"",
""phone_number"": ""098..."", 
""first_name"": ""Nguyen"", 
""last_name"": ""Khanh"", 
""date_of_birth"": ""30-01-2005"", 
""gender"": ""MALE"" 
}","1. Kiểm tra email trong USERS
2. Kiểm tra phone_number trong USERS
2. Hash password (bcrypt)
3. Insert vào USERS & PROFILES tương ứng (1-1) ",Null,"- 201 Created 
{ 
""message"": ""Đăng ký thành công"",
""user_id"": 10
}
- 409 Conflict
{
""error_code"": ""EMAIL_EXIST"",
""message"" : ""Email đã được sử dụng""
}
- 409 Conflict
{
""error_code"" ""PHONE_EXIST"",
""message"": ""Số điện thoại đã được sử dụng""
}"
,POST,/api/v1/auth/login,Đăng nhập hệ thống,Lưu access_token vào cookie,Null,"{ 
""email"": ""user@ex.com"", 
""password"": ""raw_pass"" 
}","1. Tìm user theo email.
2. Nếu không thấy -> Lỗi.
3. Compare hash password. Nếu sai -> Lỗi.
4. Nếu đúng: Gen JWT Token.",Null,"- 200 OK:
{ 
""access_token"": ""ey..."", 
""token_type"": ""Bearer"", 
""expires_in"": 3600, 
""user"": 
{ 
""id"": 10, 
""name"": ""Khanh Nguyen"", 
""avatar"": ""url"" 
} 
}
- 401 Unauthorized:
{
""message"": ""Email hoặc mật khẩu không chính xác"" 
}"
,GET,/api/v1/users/me,Lấy thông tin cá nhân của người dùng đang đăng nhập,Dùng để render Header Profile & Form Edit,Null,None,Query bảng USER join PROFILES,Null,"200 OK:
{ 
""user_id"": 1, 
""first_name"": ""..."", 
""last_name"": ""..."", 
""profile_picture_url"": ""..."", 
""cover_photo_url"": ""..."", 
""bio"": ""..."", 
""date_of_birth"": ""..."", 
""gender"": ""..."" 
}"
,GET,/api/v1/users/:id,Xem profile người khác,"Cần hiển thị nút: ""Add freind"", ""Unfreind"", ""Cancel Request"" hoặc ""Edit profile"" tùy mối quan hệ",Null,None,"1. Query PROFILES.
2. Check bảng FRIENDSHIPS để xem mối quan hệ giữa me và :id.",Null,"- 200 OK:
{ ""user_id"": 99, 
""first_name"": ""Nam"", 
""avatar_url"": ""..."", 
""bio"": ""..."", 
""friendship_status"": ""FRIEND"" // hoặc ""PENDING"", ""NONE"", ""BLOCKED"" 
}
404 Not Found: (Nếu user không tồn tại)"
,PUT,/api/v1/users/me,Cập nhật thông tin cá nhân,Gửi lên các trường thay đổi,Null,"{ 
""first_name"": ""Khanh"", 
""last_name"": ""Nguyen"", 
""bio"": ""New Bio"", 
""date_of_birth"": ""30-03-2006"", 
""gender"": ""MALE"", 
""profile_picture_url"": ""http://..."", 
""cover_photo_url"": ""http://..."" 
}",Update bảng PROFILES. Không cho đổi email/phone ở API này,Null,"200 OK:
{ 
""message"": ""Update success"", 
""data"": { ""first_name"": ""Khanh"", ... } 
}"
,GET,/api/v1/users/:id/posts,Lấy danh sách bài đăng thuộc sở hữu của user (gồm bài tự viết và bài Share).,"Phân biệt UI:
- Nếu :id == me: Hiển thị nút Edit/Delete.
- Nếu :id != me: Không hiện nút thao tác.
Scroll:
?limit=10&offset=0",Null,"Query Params:
limit: số lượng
offset: vị trí
(Không cần Body)","Lấy viewer_id từ AccessToken, id ở query param
1. Core Query:
Query bảng POSTS với điều kiện tiên quyết: WHERE author_id = :id.
2. Privacy Filter (Lớp bảo vệ):
- Nếu viewer_id == :id (Xem chính mình): Lấy ALL (PUBLIC, FRIENDS, ONLY_ME).
- Nếu viewer_id là bạn bè của :id: Lấy PUBLIC + FRIENDS.
- Nếu là người lạ: Chỉ lấy PUBLIC.
3. Populate:
- Join POST_FILES để lấy media.
- Nếu post_type='SHARE', cần join đệ quy để lấy thông tin bài gốc (parent_post_id).",Null,"200 OK:
[
  {
    ""post_id"": 101,
    ""author"": { ""id"": 1, ""name"": ""Khanh"", ""avatar"": ""..."" },
    ""content"": ""My thoughts..."",
    ""privacy"": ""FRIENDS"",
    ""type"": ""ORIGINAL"",
    ""files"": [ ... ],
    ""stats"": { ""likes"": 5, ""comments"": 2 }
  },
  {
    ""post_id"": 102,
    ""author"": { ""id"": 1, ""name"": ""Khanh"" },
    ""type"": ""SHARE"",
    ""original_post"": {
      ""id"": 50,
      ""author"": ""Mr. A"",
      ""content"": ""Original content""
    }
  }
]"
,Social Graph (Freindships),,,,,,,,
,GET,/api/v1/friends/requests,Xem danh sách lời mời kết bạn đang chờ (Incoming Requests).,"Render list thông báo/lời mời. Cần hiển thị nút ""Accept"" và ""Reject"".",Null,(None),"Query: SELECT * FROM friendships WHERE status='PENDING' AND action_user_id != me AND (user_one_id=me OR user_two_id=me). 

 Giải thích: Lấy record PENDING mà người hành động không phải là mình (tức là người khác gửi tới).",Null,"200 OK: 

 [{ ""friendship_id"": 1, ""requester"": { ""id"": 10, ""name"": ""Nam"", ""avatar"": ""..."" }, ""created_at"": ""..."" }]"
,POST,/api/v1/friends/:target_user_id,Gửi lời mời kết bạn (Send Request).,"Nút ""Add Friend"" trên profile người khác.",Null,(None),"1. Validate ID: id1 = min(me, target), id2 = max(me, target). 

 2. Check Exist: Query WHERE user_one_id=id1 AND user_two_id=id2. 

 - Nếu có và status='BLOCKED': Trả lỗi (Không thể kết bạn). 

 - Nếu có và status='ACCEPTED': Trả lỗi (Đã là bạn). 

 - Nếu có và status='PENDING': Trả lỗi (Đang chờ duyệt). 

 3. Action: INSERT INTO friendships (user_one_id, user_two_id, action_user_id, status) VALUES (id1, id2, me, 'PENDING').",Null,"201 Created: 

 { ""message"": ""Request sent"", ""status"": ""PENDING"" } 


 400 Bad Request: 

 { ""code"": ""ALREADY_SENT"", ""message"": ""Yêu cầu đang chờ xử lý"" }"
